id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,best_rank,debut_rank,first_week,oclc,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,title,total_weeks,year
4688,Lisa Wingate,"Wingate, Lisa",n00027810,18453420,Q61137205,8,8,4/26/20,1124909841,150,2869,9.78198E+12,9594974028,THE BOOK OF LOST FRIENDS,6,2020
4689,Terence H. White,"White, Terence Hanbury (1906-1964)",n79086367,19685792,Q453410,6,15,10/9/77,2817960,261,3291,0292707185,432877,THE BOOK OF MERLYN,24,1977
469,Michael Ondaatje,"Ondaatje, Michael, 1943-",n50002976,111941870,Q313593,12,16,5/21/00,42980143,255,3951,0375410538,835347,ANIL'S GHOST,5,2000
4690,Douglas Preston and Lincoln Child,,,,,4,4,6/18/06,,,,,,THE BOOK OF THE DEAD,7,2006
4691,Jodi Picoult,"Picoult, Jodi, 1966-",n91118775,37821799,Q234443,1,1,10/11/20,1135093256,200,3478,9.78198E+12,9911790443,THE BOOK OF TWO WAYS,8,2020
4692,John Dunning,"Dunning, John, 1942-",n79060453,41839457,Q1627461,13,13,4/4/04,52478460,48,1687,0743249925,741817,THE BOOKMAN'S PROMISE,1,2004
4693,Clive Cussler and Justin Scott,,,,,2,2,3/23/14,,,,,,THE BOOTLEGGER,4,2014
4694,Don Winslow,"Winslow, Don, 1953-",n90694002,115600123,Q908571,3,3,3/17/19,1048661603,200,2054,9.78006E+12,5516359259,THE BORDER,3,2019
4695,Jan Westcott,"Westcott, Jan, 1912-2011",n50003372,23381139,Q18131869,13,13,12/1/46,1491366,22,354,,2406322,THE BORDER LORD,7,1946
4696,Anita Diamant,"Diamant, Anita",n84153383,67392674,Q4765521,6,12,12/28/14,884882199,240,2939,1439199353,2037476456,THE BOSTON GIRL,12,2014
4697,William Donohue Ellis,"Ellis, William Donohue",,290916754,,13,13,12/28/52,2758325,10,292,,3943337592,THE BOUNTY LANDS,3,1952
4698,J.R. Ward,"Ward, J. R., 1969-",n2006016118,158791569,Q468550,14,14,8/16/15,893895119,218,1953,9.78045E+12,2559354791,THE BOURBON KINGS,1,2015
4699,Eric Van Lustbader,"Lustbader, Eric",n79138577,99512281,Q730116,8,12,6/24/07,81861474,327,3126,9.78045E+12,2591138347,THE BOURNE BETRAYAL,11,2007
47,Hank Green,"Green, Hank",n2007030517,58528793,Q550996,4,4,7/26/20,1020313071,175,2465,9.78152E+12,4733863448,A BEAUTIFULLY FOOLISH ENDEAVOR,1,2020
470,George Orwell,"Orwell, George, 1903-1950",n79058639,95155403,Q3335,7,7,9/29/46,366597,1148,21494,0965052745,259236,ANIMAL FARM,6,1946
4700,Eric Van Lustbader,,,,,2,3,6/28/09,,,,,,THE BOURNE DECEPTION,4,2009
4701,Eric Van Lustbader,,,,,9,9,8/7/11,,,,,,THE BOURNE DOMINION,2,2011
4702,Robert Ludlum,"Ludlum, Robert, 1927-2001",n79147847,109373898,Q224113,1,3,3/9/80,5675357,285,4830,0399900705,52923500,THE BOURNE IDENTITY,33,1980
4703,Eric Van Lustbader,,,,,12,12,6/24/12,,,,,,THE BOURNE IMPERATIVE,1,2012
4704,Eric Van Lustbader,"Lustbader, Eric",n79138577,99512281,Q730116,8,8,7/11/04,521696500,18,204,0312331754,5534529844,THE BOURNE LEGACY,6,2004
4705,Eric Van Lustbader,,,,,9,9,6/20/10,,,,,,THE BOURNE OBJECTIVE,3,2010
4706,Eric Van Lustbader,,,,,2,2,8/17/08,,,,,,THE BOURNE SANCTION,7,2008
4707,Robert Ludlum,,,,,1,1,3/9/86,12371273,254,4966,0394543963,52902708,THE BOURNE SUPREMACY,32,1986
4708,Robert Ludlum,"Ludlum, Robert, 1927-2001,",n79147847,109373898,Q224113,1,1,3/18/90,20320080,258,4671,0394584082,52918137,THE BOURNE ULTIMATUM,26,1990
4709,Tami Hoag,"Hoag, Tami",n90630178,85444183,Q1683201,11,11,1/20/19,1043479424,117,3103,9.7811E+12,3916688602,THE BOY,1,2019
