id	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata	best_rank	debut_rank	first_week	oclc	oclc_eholdings	oclc_holdings	oclc_isbn	oclc_owi	title	total_weeks	year
2897	Jennifer Egan	Egan, Jennifer	n94011864	56717951	Q264283	3	3	2017-10-22	975110465.0	205	3917	9781476716732	4111540519	MANHATTAN BEACH	7	2017
2898	F. Van Wyck Mason	Mason, F. van Wyck (Francis van Wyck), 1901-1978	n80067551	57912804	Q4309918	10	15	1961-03-26	1316379.0	10	573		4916928971	MANILA GALLEON	12	1961
2899	William Kent Krueger	Krueger, William Kent	no98101328	61167418	Q534738	11	11	2016-09-25	928480800.0	126	1819	9781476749266	3258388297	MANITOU CANYON	1	2016
29	Arthur C. Clarke	Clarke, Arthur Charles, 1917-2008	n79006997	27062571	Q47087	2	5	1982-11-14	8429900.0	206	4405	0345303059	131441534	2010: ODYSSEY TWO	24	1982
290	Lisa Jackson	Jackson, Lisa	no91028092	50377559	Q476660	6	6	2007-04-15	81153023.0	276	3049	9780758211828	64123781	ABSOLUTE FEAR	3	2007
2900	Paulo Coelho	Coelho, Paulo	n86099875	52700	Q12881	2	2	2013-04-21	820349319.0	300	2440	9780385349833	1316305084	MANUSCRIPT FOUND IN ACCRA	3	2013
2901	Susan Wiggs	Wiggs, Susan	n88189010	46864602	Q7648539	15	15	2017-09-10	960717788.0	156	2443	9780062425485	4164016100	MAP OF THE HEART	1	2017
2902	Clive Cussler and Boyd Morrison					7	7	2020-11-29						MARAUDER	2	2020
2903	William F. Buckley Jr	Buckley, William F., Jr., 1925-2008	n79065205	73943799	Q378098	2	12	1982-01-31	7737534.0	68	1562	0385152329	131147256	MARCO POLO, IF YOU CAN	14	1982
2904	Vicki Baum	Baum, Vicki, 1888-1960	n79135036	71387030	Q93444	6	6	1942-03-16	1885844.0	21	426		2441950	MARION ALIVE	1	1942
2905	Herman Wouk	Wouk, Herman, 1915-2019	n79032317	17231124	Q49072	1	6	1955-09-18	32011050.0	112	3554		1065634	MARJORIE MORNINGSTAR	37	1955
2906	Robin Cook	Cook, Robin, 1940-	n79117119	109274608	Q352059	9	9	2005-06-12	58422860.0	146	3545	0399152938	86914	MARKER	2	2005
2907	Brian Jacques	Jacques, Brian	n85150113	22289785	Q468851	14	14	1999-02-07	39313451.0	108	2767	0399233075	359602	MARLFOX	1	1999
2908	Judith Kelly	Kelly, Judith, 1908-1957	no2009024306	78969034		4	6	1941-09-01	689572.0	12	137		1780957	MARRIAGE IS A PRIVATE AFFAIR	12	1941
2909	Johanna Lindsey	Lindsey, Johanna, 1951-	n84033301	28600	Q273677	12	12	2005-07-03	60345204.0	79	2722	1416505458	35972	MARRIAGE MOST SCANDALOUS	1	2005
291	John le Carre	Le Carré, John, 1931-	n79083252	109254932	Q209641	7	7	2004-02-15	52860190.0	414	3906	9780316353588	429035	ABSOLUTE FRIENDS	4	2004
