title,publication_year,genre,publisher,text_awards,nyt_bestseller,author_name,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards,scholarship_title,scholar_name,scholarship_year,scholarship_venue,mla_doi,2_author_name,2_birth_year,2_gender,2_ethnicity_national_origin_group,2_race,2_birth_nation,2_native_foreign,2_immigrant_generation,2_immigration_year,2_nations,2_states,2_cities,2_education_level,2_degree,2_mfa,2_degree_institution,2_university_teacher,2_teaching_institution,2_author_awards,3_author_name,3_birth_year,3_gender,3_ethnicity_national_origin_group,3_race,3_birth_nation,3_native_foreign,3_immigrant_generation,3_immigration_year,3_nations,3_states,3_cities,3_education_level,3_degree,3_mfa,3_degree_institution,3_university_teacher,3_teaching_institution,3_author_awards,4_author_name,4_birth_year,4_gender,4_ethnicity_national_origin_group,4_race,4_birth_nation,4_native_foreign,4_immigrant_generation,4_immigration_year,4_nations,4_states,4_cities,4_education_level,4_degree,4_mfa,4_degree_institution,4_university_teacher,4_teaching_institution,4_author_awards,,,,,,"Abichandani, Jaishri ",1969,F,Indian,Asian,India,Foreign,1,1984,"India, United States, England",NY,"Bombay, New York City, London",Graduate,Master's,Y,Goldsmith's College,N,N/A,"En Foco 2000 New Works Photography Award, Brooklyn Information & Culture Artist Honoree, Urban Artist's Initiative Award, and more",Sculpting Queer Futures for Survival: Jaishri Abichandani’s Everyday Deities,"Khubchandani, Kareem",2023,Theatre Journal,202330226015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Aoki, Ryka",,TF,Japanese,Asian,United States,Native,,N/A,United States,"CA, NY","Ithaca, Los Angeles",Graduate,Master's,Y,Cornell University,Y,Santa Monica College,"Eli Coppola Chapbook Winner, Corson-Bishop Poetry Prize, University Award from the Academy of American Poets","Trans Feminism, Asian America's Queer Exception?","Hsu, Stephanie",2021,Asian American Literature in Transition,202223633652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Cunanan's Wake""",,Short Story(ies),Penguin,,N/A,"Apostol, Gina",1963,F,Filipinx,Asian,Philippines,Foreign,1,,"Philippines, United States","MA, NY",New York City,Graduate,Master's,Y,Johns Hopkins University,N,N/A,,"Laughter Against the State: On Humor, Postcolonial Satire, and Asian American Short Fiction","Balce, Nerissa S.",2016,Journal of Asian American Studies,2016381994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortress in the Rice,1951,Novel,Bobbs-Merrill,,N,"Appel, Benjamin",1907,M,Euro American,White,United States,Native,,N/A,United States,"NY, NJ",New York City,Undergraduate,Bachelor's,N,Lafayette College,N,N/A,,An American Witness to the Huk Rebellion: A Brief Introduction to Benjamin Appel's Fortress in the Rice,"San Juan, Jr., E.",2014,Amerasia Journal,10.17953/amer.40.3.j2260201174t6866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Orient(ed),2005,Drama,Teesri Duniya Theater,,N/A,"Aquino, Nina",,F,Filipinx,Asian,Philippines,Foreign,N/A,N/A,Canada,,Ottawa,Graduate,Master's,Y,University of Toronto,Y,York University,"John Hirsch Prize Canada Council for the Arts, Margo Bindhart and Rita Davies Cultural Leadership Award, Dora Mavor Moore Awards",Unfastened: Globality and Asian North American Narratives,"Ty, Eleanor",2010,N/A,2010297694,"Villasin, Nadine",1974,F,Euro Canadian-Filipinx,Multiracial Asian-White,Philippines,N/A,N/A,N/A,Canada,,,,,,,N,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendor,1995,Film,Samuel Goldwyn Films,,N/A,"Araki, Gregg",1959,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Santa Barbara, Los Angeles",Graduate,Master's,Y,University of Southern California,N,N/A,,Queer Experimental Asian American Media,"Oishi, Eve",2017,The Routledge Companion to Asian American Media,2017130251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teenage Apocalypse Trilogy,1993-1997,Film,Strand Releasing,,N/A,"Araki, Gregg",1959,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Santa Barbara, Los Angeles",Graduate,Master's,Y,University of Southern California,N,N/A,,Gregg Araki and Queer Asian American Empowerment in the Teenage Apocalypse Trilogy,"Coates, Amanda",2021,Film Matters,202224567583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Doom Generation,1995,Film,Trimark Pictures,,N/A,"Araki, Gregg",1959,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Santa Barbara, Los Angeles",Graduate,Master's,Y,University of Southern California,N,N/A,,Queer Experimental Asian American Media,"Oishi, Eve",2017,The Routledge Companion to Asian American Media,2017130251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Living End,1992,Film,October Films,,N/A,"Araki, Gregg",1959,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Santa Barbara, Los Angeles",Graduate,Master's,Y,University of Southern California,N,N/A,,Gregg Araki and the Queer New Wave,"Yutani, Kimberly",1994,Amerasia Journal,10.17953/amer.20.1.g7573623866408h3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Las palabras silenciosas""",1979,Short Story(ies),Joaquín Mortiz,,N/A,"Arredondo, Ines",1928,F,Mexican,Latinx,Mexico,N/A,N/A,N/A,Mexico,,,Undergraduate,Bachelor's,N,National Autonomous University of Mexico,N,N/A,,At the Margins of the Nation: Chinese Immigrants in the Contemporary Spanish American Fiction,"Lee, Alejandro",2012,Amerasia Journal,10.17953/amer.38.2.h65548831617783m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Blue Suit and other Stories,1997,Short Story(ies),University of Washington Press,,N,"Bacho, Peter",1950,M,Filipinx,Asian,United States,Native,,N/A,United States,WA,,Graduate,JD,N,University of Washington,Y,Evergreen State College Tacoma,,Transcultural Reinventions: Asian American and Asian Canadian Short-Story Cycles,"Davis, Rocío G.",2001,N/A,2002531693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire of the Sun,1984,Novel,Gollancz,,N,"Ballard, J. G.",1930,M,English,White,China,N/A,N/A,N/A,"China, England, Canada",N/A,Shanghai,Some Undergraduate,High School Diploma,N,Leys School,N,N/A,,Asian Diaspora and East-West Modernity,"Ma, Sheng-mei",2012,N/A,2012421547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
