,id,author1,author1_normalized,author2,author3,author4,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,date,htid,hathi_rights,title,imprint,isbn,isbn_most_common_edition,lccn,oclc,oclc_owi,oclc_eholdings,oclc_holdings,person_id,place,publisher_marc
638,6779,"Tiempo, Edilberto K.","Tiempo, Edilberto K.",,,,"Tiempo, Edilberto K.",n84226138,87607162,Q3550871,1995,mdp.39015034533771,ic,The paraplegics and five short stories / Edilberto K. Tiempo.,"Giraffe Books, 1995.",['9718967192'],9718967192,[],['36455693'],40384703.0,2.0,16.0,44,ph,Giraffe Books
639,6780,"Foster, Patricia.","Foster, Patricia",,,,"Foster, Patricia",n79080054,304978350,,1995,mdp.39015034539380,ic,Sister to sister : women write about the unbreakable bond / edited by Patricia Foster.,"Doubleday, 1995.",['0385471289'],0385471289,['95010486'],['32241587'],55922389.0,38.0,490.0,3102,nyu,Doubleday
640,6781,"Young, Dean 1955-","Young, Dean","Simic, Charles 1938-",,,"Young, Dean, 1955-",n87939108,16302062,Q5246572,1995,mdp.39015034532096,ic,Strike anywhere : poems / by Dean Young ; selected by Charles Simic.,"Center for Literary Pub., University Press of Colorado, c1995.",['0870814230'],0585027811,[],['33868711'],2850367.0,472.0,162.0,3637,cou,"Center for Literary Pub., University Press of Colorado"
641,6782,"Twichell, Chase 1950-","Twichell, Chase",,,,"Twichell, Chase, 1950-",n81017543,595149198244374940003,Q5087206,1995,mdp.39015034892201,ic,The ghost of Eden / Chase Twichell.,"Ontario Review Press, 1995.",['086538083X (hard cover)'],086538083X,['95007912'],['32130695'],34370704.0,11.0,212.0,975,nju,Ontario Review Press
642,6783,"Lashner, William.","Lashner, William",,,,"Lashner, William",n95071105,39487222,Q606154,1995,mdp.39015034892078,ic,Hostile witness : a novel / William Lashner.,"ReganBooks, c1995.",['0060391464'],0060391464,['95005595 //r952'],['32013692'],196096693.0,119.0,1161.0,2085,nyu,ReganBooks
643,6784,"Girardi, Robert.","Girardi, Robert",,,,"Girardi, Robert",n94112045,24744344,Q7344794,1995,mdp.39015034448806,ic,Madeleine's ghost / by Robert Girardi.,"Delacorte Press, 1995.",['0385314825'],0385314825,['94042088'],['31606778'],27828031.0,55.0,759.0,1669,nyu,Delacorte Press
644,6785,"Hemley, Robin 1958-","Hemley, Robin",,,,"Hemley, Robin, 1958-",n87871157,53216269,Q7352460,1995,mdp.39015034417025,ic,The big ear : stories / by Robin Hemley.,"J.F. Blair, c1995.",['0895871289 (alk. paper)'],0895871289,['95005461'],['31971550'],476687735.0,2.0,125.0,1365,ncu,J.F. Blair
645,6786,"Glancy, Diane.","Glancy, Diane",,,,"Glancy, Diane",n85814699,93980865,Q5271470,1995,mdp.39015034395304,ic,Monkey secret / Diane Glancy.,"TriQuarterly Books, 1995.",['0810150166 (alk. paper)'],0810150166,['95001716 //r95'],['32013094'],33881100.0,3.0,224.0,1837,ilu,TriQuarterly Books
646,6787,"Schwartz, Lynne Sharon.","Schwartz, Lynne Sharon",,,,"Schwartz, Lynne Sharon",n80017432,49379687,Q1878899,1995,mdp.39015034303688,ic,The fatigue artist : a novel / Lynne Sharon Schwartz.,"Scribner, c1995.",['0684802473'],0684802473,['94048009 //r95'],['31753784'],33589913.0,26.0,525.0,3674,nyu,Scribner
647,6788,"Johnson, Denis 1949-","Johnson, Denis",,,,"Johnson, Denis, 1949-2017",n81147004,51707360,Q340016,1995,pst.000048590945,ic,"The throne of the third heaven of the nation's millennium general assembly : poems, collected and new / Denis Johnson.","HarperCollins, 1995.",['0060171804'],0060171804,['95003170'],['31901310'],196451664.0,25.0,288.0,786,nyu,HarperCollins
648,6789,"Spencer, Scott.","Spencer, Scott",,,,"Spencer, Scott",n79055602,88181441,Q7437294,1995,mdp.39015031710612,ic,Men in black : a novel / by Scott Spencer.,"A.A. Knopf, 1995.",['0679434526'],0679434526,['95002669 //r95'],['31970179'],293977299.0,65.0,517.0,87,nyu,A.A. Knopf
649,6790,"Harrison, Kathryn.","Harrison, Kathryn",,,,"Harrison, Kathryn",n90649391,90726799,Q2917259,1995,mdp.39015034207046,ic,Poison / Kathryn Harrison.,"Random House, c1995.",['0679431403'],0679431403,['94027636'],['30733621'],899393.0,58.0,793.0,3546,nyu,Random House
650,6791,"Stern, Richard G. 1928-","Stern, Richard G.",,,,"Stern, Richard, 1928-2013",n80030782,64055711,Q3702414,1995,mdp.39015033982466,ic,A sistermony / by Richard Stern.,"Donald I. Fine, c1995.",['1556114273 :'],1556114273,['94068096'],['32068157'],33999609.0,22.0,211.0,3194,nyu,Donald I. Fine
651,6792,"Galvin, James.","Galvin, James",,,,"Galvin, James",n80083528,91815764,Q6134459,1995,mdp.39015033979983,ic,Lethal frequencies / James Galvin.,"Copper Canyon Press, c1995.",['1556590695 :'],1556590695,['94031305'],['31044867'],33427079.0,3.0,203.0,1000,wau,Copper Canyon Press
652,6793,"Bly, Robert.","Bly, Robert",,,,"Bly, Robert",n79054927,79847862,Q472507,1993,mdp.39015033984991,ic,Gratitude to old teachers : poems / by Robert Bly ; frontispiece by Robert Marx.,"BOA Editions, 1993.","['1880238012 (wrappers),1880238004 (4 special bound),0188023801 (2 wrappers)']",0188023801,['94105363'],['28487669'],476575653.0,12.0,264.0,5,nyu,BOA Editions
