id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6437	Hass, Robert.	Hass, Robert				Hass, Robert	n83039272	26975	Q370513	2007	mdp.39015069319443	ic	Now & then : the Poet's choice columns, 1997-2000 / Robert Hass.	Shoemaker & Hoard ; Distributed by Publishers Group West, 2007.	['1593761465 (alk. paper),9781593761462 (alk. paper)']	9781593761462	['2007003474']	['81860825']	198237670	97	399	0	cau	Shoemaker & Hoard ;
6438	Miller, Leslie Adrienne.	Miller, Leslie Adrienne				Miller, Leslie Adrienne	no92018917	38943239	Q6530591	2007	mdp.39015068816803	ic	The resurrection trade / Leslie Adrienne Miller.	Graywolf Press, 2007.	['1555974635 (pbk. : acid-free paper),9781555974633 (pbk. : acid-free paper)']	9781555974633	['2006929503']	['85810284']	69718900	12	175	1374	mnu	Graywolf Press
6439	Cheever, John.	Cheever, John				Cheever, John	n78089819	2468135	Q336151	1980	inu.30000111988907	ic	The leaves, the lion-fish, and the bear / John Cheever.	Sylvester & Orphanos, 1980.	[]		[]	['7534522']	28995136	2	38	3660	cau	Sylvester & Orphanos
6440	Drexler, Rosalyn.	Drexler, Rosalyn	Glimcher, Arnold B.	PaceWildenstein (Firm)		Drexler, Rosalyn	n78095567	33183965	Q7367281	2007	mdp.39015069321209	ic	Rosalyn Drexler : I am the beautiful stranger : paintings of the '60s.	PaceWildenstein, c2007.	['1930743726,9781930743724']	9781930743724	['2007922784']	['122331864']	112874477	2	112	3688	nyu	PaceWildenstein
6441	Olsen, Lance 1956-	Olsen, Lance	Kafka, Franz 1883-1924			Olsen, Lance, 1956-	n86108063	110430530	Q6483502	2007	mdp.39015069312695	ic	Anxious pleasures : a novel after Kafka / Lance Olsen.	Shoemaker & Hoard : Distributed by Publishers Group West, c2007.	['9781593761356,159376135X']	159376135X	['2006030688']	['71369266']	58309057	11	198	1241	cau	Shoemaker & Hoard :
6442	O'Brien, Geoffrey G. (Geoffrey Gordon) 1969-	O'Brien, Geoffrey G.				O'Brien, Geoffrey G. (Geoffrey Gordon), 1969-	n2001040686	19026259		2007	mdp.39015067687122	ic	Green and gray Geoffrey G.O'Brien.	University of California Press, c2007.	['0520250192,9780520250192,0520250184,9780520250185']		[]	[]				3112	cau	University of California Press
6443	Glancy, Diane.	Glancy, Diane				Glancy, Diane	n85814699	93980865	Q5271470	2007	mdp.39015067652373	ic	Asylum in the grasslands : poems / by Diane Glancy.	University of Arizona Press, c2007.	['9780816525713 (pbk. : acid-free paper),0816525714 (pbk. : acid-free paper)']	0816525714	['2006009132']	['65340950']	49138451	2	206	1837	azu	University of Arizona Press
6444	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2006	mdp.39015067654148	ic	Desmoronamiento / Horacio Castellanos Moya.	Tusquets Ediciones, 2006.	['9788483103494 :,8483103494 :']	8483103494	[]	['150426435']	61064838	8	162	3100	sp	Tusquets Ediciones
6445	Swofford, Anthony.	Swofford, Anthony				Swofford, Anthony	n2002061003	29778265	Q2852984	2007	mdp.39015066877302	ic	Exit A : a novel / Anthony Swofford.	Scribner, c2007.	['9780743270380']	9780743270380	['2006044394']	['70158533']	294424596	44	681	2536	nyu	Scribner
6446	Wideman, John Edgar.	Wideman, John Edgar	Wideman, John Edgar	Wideman, John Edgar	Wideman, John Edgar	Wideman, John Edgar	n82231445	110405033	Q688739	1985	mdp.39015069159617	ic	The Homewood trilogy / John Edgar Wideman.	Avon, c1985.	['9780380895649,0380895641']	0380895641	['84045676']	['11625509']	4494474	15	209	4368	nyu	Avon
6447	McCollough, Aaron.	McCollough, Aaron				McCollough, Aaron	n2002029869	55969077	Q4662252	2006	mdp.39015066844864	ic	Little ease : poems / Aaron McCollough.	Ahsahta Press, 2006.	['9780916272906 (pbk.),0916272907 (pbk.)']	0916272907	['2006005231']	['64208293']	48198804	2	75	2514	idu	Ahsahta Press
6448	Milch, David 1945-	Milch, David				Milch, David, 1945-	n95042423	66602855	Q1175673	2006	mdp.39015066798318	ic	Deadwood : stories of the Black Hills / by David Milch ; interviews by David Samuels.	Bloomsbury, c2006.	['9781596912397,1596912391 :']	1596912391	[]	['73506941']	60042567	11	161	536	nyu	Bloomsbury
6449	Strand, Mark 1934-	Strand, Mark				Strand, Mark, 1934-2014	n79090257	49272680	Q928775	2006	mdp.39015064761425	ic	Man and camel : poems / Mark Strand	Knopf, 2006	['9780307262967']	0307262960	['2006040986']	['64442940']	198139059	11	586	87	nyu	Knopf
6450	Purpura, Lia 1964-	Purpura, Lia				Purpura, Lia, 1964-	n95067518	60794878	Q6539393	2006	mdp.39015064870697	ic	On looking : essays / Lia Purpura.	Sarabande Books, c2006.	['1932511393 (pbk. : alk. paper)']	1932511393	['2005029325']	['62085399']	476603189	152	262	2028	kyu	Sarabande Books
6451	Hopler, Jay 1970-	Hopler, Jay				Hopler, Jay, 1970-2022	n2005063661	66758757	Q6166718	2006	mdp.39015064108197	ic	Green squall / Jay Hopler ; foreword by Louise GlÃ¼ck.	Yale University Press, c2006.	['0300114540,0300114532']	9780300129649	['2005024636']	['61448114']	42718344	1625	370	2296	ctu	Yale University Press
6452	Carver, Raymond 1938-1988	Carver, Raymond	McChesney, Robert 1913-			Carver, Raymond, 1938-1988	n80113040	88660538	Q219862	1970	mdp.39015063187200	ic	Winter insomnia : poems / by Raymond Carver ; prints by Robert McChesney.	Kayak Books, c1970.	[]		['94195111']	['33282198']	502037698	2	105	3683	cau	Kayak Books
6453	Levine, Mark 1965-	Levine, Mark				Levine, Mark, 1965-	n92102200	98003058	Q6768573	2006	mdp.39015063274040	ic	The wilds / Mark Levine.	University of California Press, c2006.	['0520240413 (pbk. : alk. paper),0520240405 (cloth : alk. paper)']	0520240405	['2005016387']	['60650962']	35053	3	217	2007	cau	University of California Press
6454	D'Ambrosio, Charles.	D'Ambrosio, Charles				D'Ambrosio, Charles	n94091495	61709569	Q2628164	2006	mdp.39015063296332	ic	The dead fish museum / by Charles D'Ambrosio.	Alfred A. Knopf, 2006.	['1400042860']	1400042860	['2005044672']	['61748459']	46281046	63	658	2063	nyu	Alfred A. Knopf
6455	Olsen, Lance 1956-	Olsen, Lance				Olsen, Lance, 1956-	n86108063	110430530	Q6483502	2006	mdp.39015062538734	ic	Nietzsche's kisses / Lance Olsen	FC2, c2006	['1573661279 (pbk.)']	1573661279	['2005036751']	['62738560']	47058443	218	200	1241	ilu	FC2
6456	Hollo, Anselm.	Hollo, Anselm				Hollo, Anselm	n79059776	2485795	Q252476	2005	mdp.39015063276581	ic	Braided river : new and selected poems 1965-2005 / Anselm Hollo.	Salt, 2005.	['1844711099 (pbk.),9781844711093 (ISBN-13 : pbk.)']	1844711099	[]	['61386976']	31130496	5	70	3119	enk	Salt
