record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_episode,predictions,source
london_iron_1908,Q2465752,The Iron Heel,Jack London,1908,1922,14,"1912-1932, 2600",fiction,dystopian fiction,https://en.wikipedia.org/wiki/The_Iron_Heel,,"Using the median date for the range of years the novel’s main action take place in. “The novel is told via the framing device of a manuscript found centuries after the action takes place and footnotes by a scholar, Anthony Meredith, circa 2600 AD or 419 B.O.M. (the Brotherhood of Man). . . . The story covers the years 1912 through 1932 in which the Oligarchy (or ""Iron Heel"") arises in the United States.”",,"By 1910, the Socialist Party of America has become a major national party. An Oligarchy arises in the US from 1912 to 1932. Japan conquers East Asia and creates its own empire, India gains independence from the British Empire and Europe becomes socialist. Canada, Mexico, and Cuba form their own Oligarchies and are aligned with the United States.",wikipast
barnsley_são_1909,Q64495821,"São Paulo no ano 2000, ou, Regeneração nacional",Godofredo Emerson Barnsley,1909,2000,91,,fiction,futuristic fiction,,,,,,wikidata
serviss_sky_1909,Q7764701,The Sky Pirate,Garrett P. Serviss,1909,1939,30,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Sky_Pirate_(novel),,,,"Several years prior to 1939, France and the UK fought each other in a war in which aeros were prominently used.",wikipast
verne_in_1910,Q684022,In the Year 2889,Jules Verne,1910,2889,979,,fiction,social science fiction,https://en.wikipedia.org/wiki/In_the_Year_2889_(short_story),,,,,wikicategory
london_the_1910,Q7771675,"""The Unparalleled Invasion""[102]",Jack London,1910,1955,45,1922-1987,fiction,short story,https://en.wikipedia.org/wiki/The_Unparalleled_Invasion,,Median of the range of years depicted in the work,,"On May 1, 1976, the United States and other Western powers launch a biological warfare campaign against China, resulting in the destruction of the Chinese population. China is later colonized by the Western Powers.",wikipast
shi'e_xin_1910,Q48730573,Xin Zhongguo,Lu Shi'e,1910,1950,40,,fiction,,https://en.wikipedia.org/wiki/Xin_Zhongguo,,,,,wikicategory
benson_dawn_1911,Q17991789,The Dawn of All,Robert Hugh Benson,1911,1973,62,,fiction,novel,,,,,"Alternative version of Lord of the World in which the Church fares much better, and the world becomes Catholic, with the exception, at first, of Germany and the Far East.",wikipast
gilmore_moving_1911,Q6927163,Moving the Mountain,Charlotte Perkins Gilmore,1911,1940,29,1920-1940,fiction,novel,https://en.wikipedia.org/wiki/Moving_the_Mountain_(novel),,Majority of novel set around year 1940,,"In 1920, the United States adopted a system of economics described as being ""beyond Socialism"", a strain of nationalism that answered all the questions posed by socialism without actually being socialist, renovating its society and culture. In 1940, the US is a country with no poverty or prostitution, ""no labor problem – no color problem – no sex problem – almost no disease – very little accident – practically no fires,"" a place in which ""the only kind of prison left is called a quarantine,"" where problems of deforestation and soil erosion are being remedied, and in which ""no one needs to work over two hours a day and most people work four....""[76]",wikipast
coleby_pirates_1911,none,Pirates of 1920,David Aylott; A. E. Coleby,1911,1920,9,,film,film,,,"no Wikidata, imdb: https://www.imdb.com/title/tt0001832/",,Depicts air pirates.,wikipast
demille_in_1912,Q19321778,In 1999,William Churchill deMille,1912,1999,87,,drama,play,https://en.wikipedia.org/wiki/In_1999,,,,"Predicts a future in which traditional gender roles are reversed, with women going to work and men staying at home.",wikipast
